repo,project,file,kind,name,signature,tags,depends_on,lines,body_hash
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/emergency/mock/MockImplicitDetectionAdapter.kt,adapter,MockImplicitDetectionAdapter,kotlin adapter,#android #kotlin #emergency,,109,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/emergency/mock/MockNG911Adapter.kt,adapter,MockNG911Adapter,kotlin adapter,#android #kotlin #emergency,,118,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/emergency/native/NativeImplicitDetectionAdapter.kt,adapter,NativeImplicitDetectionAdapter,kotlin adapter,#android #kotlin #emergency,,230,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/emergency/NG911Port.kt,service,NG911Port,kotlin service,#android #kotlin #emergency,,154,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/evidence/EvidencePort.kt,service,EvidencePort,kotlin service,#android #kotlin #evidence #evidence,,199,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/evidence/mock/MockEvidenceAdapter.kt,adapter,MockEvidenceAdapter,kotlin adapter,#android #kotlin #evidence #evidence,,359,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/evidence/mock/MockTamperDetectionAdapter.kt,adapter,MockTamperDetectionAdapter,kotlin adapter,#android #kotlin #evidence,,124,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/evidence/mock/MockThumbnailGeneratorAdapter.kt,adapter,MockThumbnailGeneratorAdapter,kotlin adapter,#android #kotlin #evidence,,129,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/evidence/TamperDetectionPort.kt,service,TamperDetectionPort,kotlin service,#android #kotlin #evidence,,118,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/evidence/ThumbnailGeneratorPort.kt,service,ThumbnailGeneratorPort,kotlin service,#android #kotlin #evidence,,119,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/export/mock/MockPDFExportAdapter.kt,adapter,MockPDFExportAdapter,kotlin adapter,#android #kotlin #gdpr,,43,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/export/PDFExportPort.kt,service,PDFExportPort,kotlin service,#android #kotlin #gdpr,,46,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/gdpr/AccountDeletionPort.kt,service,AccountDeletionPort,kotlin service,#android #kotlin,,41,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/gdpr/DataExportPort.kt,service,DataExportPort,kotlin service,#android #kotlin #gdpr,,60,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/gdpr/mock/MockAccountDeletionAdapter.kt,adapter,MockAccountDeletionAdapter,kotlin adapter,#android #kotlin,,72,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/gdpr/mock/MockDataExportAdapter.kt,adapter,MockDataExportAdapter,kotlin adapter,#android #kotlin #gdpr,,57,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/health/HealthPort.kt,service,HealthPort,kotlin service,#android #kotlin,,194,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/health/mock/MockHealthAdapter.kt,adapter,MockHealthAdapter,kotlin adapter,#android #kotlin,,137,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/health/native/HealthConnectAdapter.kt,adapter,HealthConnectAdapter,kotlin adapter,#android #kotlin,,259,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/local/AppDatabase.kt,source,AppDatabase,kotlin source,#android #kotlin,,26,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/local/SyncLogDao.kt,source,SyncLogDao,kotlin source,#android #kotlin #offline,,103,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/local/SyncLogEntity.kt,model,SyncLogEntity,kotlin model,#android #kotlin #offline,,86,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/local/UserDao.kt,source,UserDao,kotlin source,#android #kotlin,,34,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/location/mock/MockLocationQueueAdapter.kt,adapter,MockLocationQueueAdapter,kotlin adapter,#android #kotlin #messaging,,79,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/location/native/RoomLocationQueueAdapter.kt,adapter,RoomLocationQueueAdapter,kotlin adapter,#android #kotlin #messaging,,188,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/location/OfflineLocationQueuePort.kt,service,OfflineLocationQueuePort,kotlin service,#android #kotlin #offline #messaging,,108,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/local/LogEntryDao.kt,source,LogEntryDao,kotlin source,#android #kotlin,,57,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/local/LogEntryEntity.kt,model,LogEntryEntity,kotlin model,#android #kotlin,,122,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/LogEntry.kt,source,LogEntry,kotlin source,#android #kotlin,,48,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/LoggingPort.kt,service,LoggingPort,kotlin service,#android #kotlin,,73,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/LogLevel.kt,source,LogLevel,kotlin source,#android #kotlin,,14,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/LogSyncWorker.kt,service,LogSyncWorker,kotlin service,#android #kotlin #offline,,69,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/mock/MockLoggingAdapter.kt,adapter,MockLoggingAdapter,kotlin adapter,#android #kotlin,,121,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/native/NativeLoggingAdapter.kt,adapter,NativeLoggingAdapter,kotlin adapter,#android #kotlin,,88,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/native/NativeLogSyncAdapter.kt,adapter,NativeLogSyncAdapter,kotlin adapter,#android #kotlin #offline,,146,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/logging/WatchLogger.kt,source,WatchLogger,kotlin source,#android #kotlin,,127,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/maps/MapServicePort.kt,service,MapServicePort,kotlin service,#android #kotlin,,208,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/maps/mock/MockMapServiceAdapter.kt,adapter,MockMapServiceAdapter,kotlin adapter,#android #kotlin,,396,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/mock/MockAlertRepository.kt,repository,MockAlertRepository,kotlin repository,#android #kotlin,,123,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/mock/MockAuthRepository.kt,repository,MockAuthRepository,kotlin repository,#android #kotlin #auth,,98,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/mock/MockHistoryRepository.kt,repository,MockHistoryRepository,kotlin repository,#android #kotlin #history,,123,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/mock/MockUserRepository.kt,repository,MockUserRepository,kotlin repository,#android #kotlin,,132,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/mock/MockVolunteerRepository.kt,repository,MockVolunteerRepository,kotlin repository,#android #kotlin #volunteering,,129,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/Alert.kt,model,Alert,kotlin model,#android #kotlin,,15,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/CommunityAlert.kt,model,CommunityAlert,kotlin model,#android #kotlin,,14,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/EgressModels.kt,model,EgressModels,kotlin model,#android #kotlin,,336,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/EmergencyContact.kt,model,EmergencyContact,kotlin model,#android #kotlin #emergency,,10,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/Evidence.kt,model,Evidence,kotlin model,#android #kotlin #evidence,,174,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/GuardReport.kt,model,GuardReport,kotlin model,#android #kotlin #guardreport,,124,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/HistoryEvent.kt,model,HistoryEvent,kotlin model,#android #kotlin #history,,19,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/MedicalProfile.kt,model,MedicalProfile,kotlin model,#android #kotlin,,139,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/MfaEnrollmentChallenge.kt,model,MfaEnrollmentChallenge,kotlin model,#android #kotlin #mfa,,47,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/PersonCapabilityModels.kt,model,PersonCapabilityModels,kotlin model,#android #kotlin,,444,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/RelationshipType.kt,model,RelationshipType,kotlin model,#android #kotlin,,117,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/Responder.kt,model,Responder,kotlin model,#android #kotlin #volunteering,,134,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/SensorModels.kt,model,SensorModels,kotlin model,#android #kotlin #sensor,,350,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/StructureModels.kt,model,StructureModels,kotlin model,#android #kotlin,,534,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/ThemeMode.kt,model,ThemeMode,kotlin model,#android #kotlin,,43,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/ThreatModels.kt,model,ThreatModels,kotlin model,#android #kotlin,,455,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/User.kt,model,User,kotlin model,#android #kotlin,,137,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/model/WearableDevice.kt,model,WearableDevice,kotlin model,#android #kotlin,,9,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/AlertRepository.kt,repository,AlertRepository,kotlin repository,#android #kotlin,,16,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/api/ApiAlertRepository.kt,repository,ApiAlertRepository,kotlin repository,#android #kotlin #api,,201,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/api/ApiHistoryRepository.kt,repository,ApiHistoryRepository,kotlin repository,#android #kotlin #api #history,,127,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/api/ApiUserRepository.kt,repository,ApiUserRepository,kotlin repository,#android #kotlin #api,,108,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/api/ApiVolunteerRepository.kt,repository,ApiVolunteerRepository,kotlin repository,#android #kotlin #api #volunteering,,203,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/AuthRepository.kt,repository,AuthRepository,kotlin repository,#android #kotlin #auth,,74,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/firebase/FirebaseAuthRepository.kt,repository,FirebaseAuthRepository,kotlin repository,#android #kotlin #auth,,542,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/GuardianConsentRepository.kt,repository,GuardianConsentRepository,kotlin repository,#android #kotlin #guardreport #gdpr,,157,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/HistoryRepository.kt,repository,HistoryRepository,kotlin repository,#android #kotlin #history,,18,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/LocationRepository.kt,repository,LocationRepository,kotlin repository,#android #kotlin,,81,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/mock/MockAlertRepository.kt,repository,MockAlertRepository,kotlin repository,#android #kotlin,,113,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/mock/MockAuthRepository.kt,repository,MockAuthRepository,kotlin repository,#android #kotlin #auth,,134,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/mock/MockGuardianConsentRepository.kt,repository,MockGuardianConsentRepository,kotlin repository,#android #kotlin #guardreport #gdpr,,160,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/mock/MockHistoryRepository.kt,repository,MockHistoryRepository,kotlin repository,#android #kotlin #history,,138,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/mock/MockUserRepository.kt,repository,MockUserRepository,kotlin repository,#android #kotlin,,137,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/mock/MockVolunteerRepository.kt,repository,MockVolunteerRepository,kotlin repository,#android #kotlin #volunteering,,136,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/native/NativeAuthRepository.kt,repository,NativeAuthRepository,kotlin repository,#android #kotlin #auth,,167,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/PhraseDetectionRepository.kt,repository,PhraseDetectionRepository,kotlin repository,#android #kotlin,,391,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/UserRepository.kt,repository,UserRepository,kotlin repository,#android #kotlin,,19,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/repository/VolunteerRepository.kt,repository,VolunteerRepository,kotlin repository,#android #kotlin #volunteering,,34,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/BiometricAuthPort.kt,service,BiometricAuthPort,kotlin service,#android #kotlin #auth #biometric,,113,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/CertificatePinningPort.kt,service,CertificatePinningPort,kotlin service,#android #kotlin,,96,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/DeviceIntegrityPort.kt,service,DeviceIntegrityPort,kotlin service,#android #kotlin,,170,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/mock/MockBiometricAuthAdapter.kt,adapter,MockBiometricAuthAdapter,kotlin adapter,#android #kotlin #auth #biometric,,101,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/mock/MockDeviceIntegrityAdapter.kt,adapter,MockDeviceIntegrityAdapter,kotlin adapter,#android #kotlin,,113,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/native/BiometricAuthAdapter.kt,adapter,BiometricAuthAdapter,kotlin adapter,#android #kotlin #auth #biometric,,171,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/native/OkHttpPinningAdapter.kt,adapter,OkHttpPinningAdapter,kotlin adapter,#android #kotlin,,154,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/security/native/PlayIntegrityAdapter.kt,adapter,PlayIntegrityAdapter,kotlin adapter,#android #kotlin,,385,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/settings/AutoEscalationPort.kt,service,AutoEscalationPort,kotlin service,#android #kotlin #settings #escalation,,147,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/settings/mock/MockAutoEscalationAdapter.kt,adapter,MockAutoEscalationAdapter,kotlin adapter,#android #kotlin #settings #escalation,,173,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/settings/ThemePreferencePort.kt,service,ThemePreferencePort,kotlin service,#android #kotlin #settings,,54,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/signalr/HubEventSender.kt,source,HubEventSender,kotlin source,#android #kotlin #realtime,,442,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/signalr/HubMessageRouter.kt,source,HubMessageRouter,kotlin source,#android #kotlin #realtime #messaging,,483,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/signalr/SignalRTestRunnerBridge.kt,source,SignalRTestRunnerBridge,kotlin source,#android #kotlin #realtime,,199,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/signalr/WatchHubConnection.kt,source,WatchHubConnection,kotlin source,#android #kotlin #realtime,,457,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sms/mock/MockSMSFallbackAdapter.kt,adapter,MockSMSFallbackAdapter,kotlin adapter,#android #kotlin,,79,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sms/native/SMSFallbackAdapter.kt,adapter,SMSFallbackAdapter,kotlin adapter,#android #kotlin,,202,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sms/SMSFallbackPort.kt,service,SMSFallbackPort,kotlin service,#android #kotlin,,116,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sos/SosCorrelationManager.kt,source,SosCorrelationManager,kotlin source,#android #kotlin #emergency #emergency,,274,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sos/SosTimelineBuilder.kt,source,SosTimelineBuilder,kotlin source,#android #kotlin #emergency #emergency #history,,198,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/ConnectivityMonitor.kt,source,ConnectivityMonitor,kotlin source,#android #kotlin #offline,,170,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/LogSyncProvider.kt,source,LogSyncProvider,kotlin source,#android #kotlin #offline #offline,,91,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/MockSyncAdapter.kt,adapter,MockSyncAdapter,kotlin adapter,#android #kotlin #offline #offline,,72,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/OfflineSyncWorker.kt,service,OfflineSyncWorker,kotlin service,#android #kotlin #offline #offline,,235,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/SyncDispatcher.kt,service,SyncDispatcher,kotlin service,#android #kotlin #offline #emergency #offline,,221,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/SyncEngine.kt,service,SyncEngine,kotlin service,#android #kotlin #offline #offline,,384,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/SyncPort.kt,service,SyncPort,kotlin service,#android #kotlin #offline #offline,,89,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/SyncTaskDao.kt,source,SyncTaskDao,kotlin source,#android #kotlin #offline #offline,,232,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/SyncTaskEntity.kt,model,SyncTaskEntity,kotlin model,#android #kotlin #offline #offline,,174,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/sync/SyncWorker.kt,service,SyncWorker,kotlin service,#android #kotlin #offline #offline,,153,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/wearables/mock/MockWearableAdapter.kt,adapter,MockWearableAdapter,kotlin adapter,#android #kotlin,,125,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/data/wearables/WearablePort.kt,service,WearablePort,kotlin service,#android #kotlin,,153,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/di/AppModule.kt,config,AppModule,kotlin config,#android #kotlin,,434,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/MainActivity.kt,source,MainActivity,kotlin source,#android #kotlin,,48,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/navigation/NavGraph.kt,config,NavGraph,kotlin config,#android #kotlin #navigation,,136,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/navigation/NavGraphComposable.kt,config,NavGraphComposable,kotlin config,#android #kotlin #navigation,,20,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/receiver/BootReceiver.kt,source,BootReceiver,kotlin source,#android #kotlin,,32,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/LocationCoordinator.kt,service,LocationCoordinator,kotlin service,#android #kotlin,,99,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/LocationService.kt,service,LocationService,kotlin service,#android #kotlin,,171,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/NotificationActionReceiver.kt,service,NotificationActionReceiver,kotlin service,#android #kotlin #notification,,103,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/NotificationResponseHandler.kt,service,NotificationResponseHandler,kotlin service,#android #kotlin #notification,,152,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/NotificationService.kt,service,NotificationService,kotlin service,#android #kotlin #notification,,443,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/PhraseDetectionCoordinator.kt,service,PhraseDetectionCoordinator,kotlin service,#android #kotlin,,155,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/PhraseDetectionService.kt,service,PhraseDetectionService,kotlin service,#android #kotlin,,407,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/QuickTapCoordinator.kt,service,QuickTapCoordinator,kotlin service,#android #kotlin,,103,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/QuickTapDetector.kt,service,QuickTapDetector,kotlin service,#android #kotlin,,174,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/service/SOSService.kt,service,SOSService,kotlin service,#android #kotlin #emergency,,149,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/services/SosTriggerService.kt,service,SosTriggerService,kotlin service,#android #kotlin #service #emergency,,674,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/testing/MockTestRunnerDeps.kt,mock,MockTestRunnerDeps,kotlin mock,#android #kotlin,,269,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/testing/TestModels.kt,model,TestModels,kotlin model,#android #kotlin,,135,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/testing/TestRunnerNotification.kt,source,TestRunnerNotification,kotlin source,#android #kotlin #notification,,179,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/testing/TestRunnerService.kt,service,TestRunnerService,kotlin service,#android #kotlin,,297,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/testing/TestStepExecutor.kt,source,TestStepExecutor,kotlin source,#android #kotlin,,488,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/TheWatchApplication.kt,source,TheWatchApplication,kotlin source,#android #kotlin,,37,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/ui/accessibility/AccessibilityConfig.kt,config,AccessibilityConfig,kotlin config,#android #kotlin #accessibility,,382,
TheWatch,TheWatch-Android,TheWatch-Android/app/src/main/java/com/thewatch/app/ui/accessibility/AccessibilityUtils.kt,view,AccessibilityUtils,kotlin view,#android #kotlin #accessibility,,59,
